Length,Time,Type,Make,Model,Driver,Date,Notes
"20,600 m (67,600 ft)",7:04.632,Production,Mercedes,Mercedes-AMG GT R Pro,Maro Engel,November 2018,Mercedes-Benz conducted test (11/2018). Ambient temperature of 12Â Â°C (54Â Â°F). Vehicle in accordance with regulations. Timed by wige SOLUTIONS.[60][61][62][63][tire information missing]
"20,600 m (67,600 ft)",7:05.41,Production,Porsche,Porsche 911 GT3 RS (991.2),Christian Gebhardt,2018,"Sport Auto (09/2018), OEM deletion of audio and communication system, Porsche Motorsport bucket seat and harness on driver's side.[64][65]"
"20,600 m (67,600 ft)",7:08.34,Production,McLaren,McLaren 720S,Christian Gebhardt,2019,"Sport Auto (2/2019), Pirelli P Zero Corsa.[66][67]"
"20,600 m (67,600 ft)",7:08.679,Production,Nissan,Nissan GT-R NISMO (2015),Michael Krumm,"September 30, 2013","Nissan conducted test. Pre-production NISMO ""N Attack Package"" (available on order from NISMO Japan in 2015), 255/40RF-20 run-flat Dunlop SP Sport Maxx GT 600 DSST.[68][69][70][71]"
"20,600 m (67,600 ft)",7:08.82,Production,McLaren,McLaren 600LT,Christian Gebhardt,2019,"Sport Auto (9/2019), Pirelli P Zero Trofeo R MC.[72]"
"20,600 m (67,600 ft)",7:10.92,Production,Mercedes,Mercedes-AMG GT R (2017),Christian Gebhardt,December 2016,"Sport Auto (1/2017), Michelin Pilot Sport Cup 2 'ZP'.[73][74][75]"
"20,600 m (67,600 ft)",7:11.57,Production,Gumpert,Gumpert Apollo Sport,Florian Gruber,13 August 2009,"Observed by Sport Auto, Michelin Pilot Sport Cup.[76][77][78]"
"20,600 m (67,600 ft)",7:12.13,Production,Dodge,Dodge Viper ACR (2010),Dominik Farnbacher,14 September 2011,"SRT, Viper Club of America and ViperExchange conducted test. Michelin Pilot Sport Cup.[79][80][81]"
"20,600 m (67,600 ft)",7:12.7,Production,Porsche,Porsche 911 GT3 (991.2),Lars Kern,4 May 2017,"Porsche conducted test. Michelin Pilot Sport Cup 2, PDK, carbon ceramic brakes, OEM deletion of audio and communication system, ""Clubsport Package"", Porsche Motorsport bucket seat and harness on driver's side.[82][83]"
"20,600 m (67,600 ft)",7:13,Production,Porsche,Porsche 918 Spyder,Horst von Saurma,June 2014,Sport Auto (6/2014).[84][85]
"20,600 m (67,600 ft)",7:13.90,Production,Chevrolet,Chevrolet Corvette C7 Z06,Christian Gebhardt,24 April 2017,"Sport Auto (8/2017), Michelin Pilot Sport Cup 2 'ZP', manual.[86][87]"
"20,600 m (67,600 ft)",7:14.64,Production,Lexus,Lexus LFA Nurburgring Package,Akira Iida,31 August 2011,"Lexus conducted test. OEM ""Nurburgring Package"", Bridgestone Potenza RE070, additional roll cage.[88][89][90]"
"20,600 m (67,600 ft)",7:14.89,Production,Donkervoort,Donkervoort D8 RS,Michael DÃ¼chting,2006,"Observed by Sport Auto, Dunlop Sportmaxx.[91]"
"20,600 m (67,600 ft)",7:16.04,Production,Chevrolet,Chevrolet Camaro ZL1 1LE (2018),Bill Wise,2017,"General Motors conducted test, OEM Goodyear Eagle F1 Supercar 3R.[92][93]"
"20,600 m (67,600 ft)",7:17,Production,Porsche,Porsche 911 Turbo S (991.2),Christian Gebhardt,2018,"Sport Auto (3/2018), Pirelli P Zero Corsa 'N0', OEM 'Aerokit'.[94][95]"
"20,600 m (67,600 ft)",7:18,Production,Porsche,Porsche 911 GT2 RS (997.2),Timo Kluck,2010,"Porsche conducted test, Michelin Pilot Sport Cup 'N2'.[96][97]"
"20,600 m (67,600 ft)",7:18,Production,Porsche,Porsche 911 GT3 (991.2),Christian Gebhardt,June 2017,"Sport Auto (7/2017), Michelin Pilot Sport Cup 2 'N1', PDK, bucket seat and harness.[98][99]"
"20,600 m (67,600 ft)",7:18.1,Production,Donkervoort,Donkervoort D8 RS,Michael DÃ¼chting,24 October 2004,Observed by Sport Auto.[91]
"20,600 m (67,600 ft)",7:19,Production,Radical,Radical SR3 Turbo,,,[citation needed]
"20,600 m (67,600 ft)",7:19.1,Production,Nissan,Nissan GT-R (2012),,,Nissan conducted test.[100]
"20,600 m (67,600 ft)",7:19.63,Production,Chevrolet,Chevrolet Corvette C6 ZR1 (2012),Jim Mero,9 June 2011,"General Motors conducted test. Base car, OEM Michelin Pilot Sport Cup ZP option.[101][102]"
"20,600 m (67,600 ft)",7:21,Production,Ferrari,Ferrari 488 GTB,,2016,Auto Zeitung (19/2016).[103]
"20,600 m (67,600 ft)",7:21.63,Production,Ferrari,Ferrari 488 GTB,Christian Gebhardt,November 2016,"Sport Auto (12/2016), Michelin Pilot Sport Cup 2.[104][105]"
"20,600 m (67,600 ft)",7:22.1,Production,Dodge,Dodge Viper ACR (2009),Tom Coronel,18 August 2008,Chrysler and Motor Trend conducted test. Michelin Pilot Sport Cup.[106]
"20,600 m (67,600 ft)",7:22.68,Production,Chevrolet,Chevrolet Corvette C6 Z06 (2012),Jim Mero,23 June 2011,"General Motors conducted test. Z07 package, OEM Michelin Pilot Sport Cup ZP option.[107]"
"20,832 m (68,346 ft)",7:23.164,Production,Jaguar,Jaguar XE SV Project 8 (2018),Vincent Radermecker,July 2019,"Jaguar conducted test, Michelin Pilot Sport Cup 2 R tyres, two-seat Track Package. Full run with flying start.[5][108]"
"20,600 m (67,600 ft)",7:24,Production,Gumpert,Gumpert Apollo Sport,Horst von Saurma,November 2010,"Sport Auto (11/2009), Michelin Pilot Sport Cup.[109][110]"
"20,600 m (67,600 ft)",7:24,Production,Porsche,Porsche 911 GT2 RS (997.2),Horst von Saurma,2010,"Sport Auto (11/2010), Michelin Pilot Sport Cup.[111]"
"20,600 m (67,600 ft)",7:24,Production,Porsche,Porsche 911 Carrera GTS (991.2),Christian Gebhardt,May 2017,"Sport Auto (6/2017), optional OEM Pirelli P Zero Corsa N0, PDK, rear seats.[112][113]"
"20,600 m (67,600 ft)",7:24.22,Production,Nissan,Nissan GT-R (2011),Toshio Suzuki,1 October 2010,Nissan conducted test.[114] Semi-wet conditions. Video confirmed. Best Motoring (12/2010).[115]
"20,600 m (67,600 ft)",7:24.29,Production,Maserati,Maserati MC12,Marc Basseng,August 2008,Evo Magazine conducted test[116]
"20,600 m (67,600 ft)",7:24.44,Production,Pagani,Pagani Zonda F Clubsport,Marc Basseng,August 2008,Evo Magazine conducted test[117]
"20,600 m (67,600 ft)",7:25,Production,Lamborghini,Lamborghini Aventador LP 700-4,Horst von Saurma,2012,"Sport Auto (08/2012), Pirelli P Zero Corsa.[118]"
"20,600 m (67,600 ft)",7:25.21,Production,Ferrari,Enzo Ferrari,Marc Basseng,August 2008,Evo Magazine conducted test[119]
"20,600 m (67,600 ft)",7:25.41,Production,Mercedes,Mercedes-AMG GT 4-Door Coupe 63 S 4MATIC+,Demian Schaffert,October 2018,Mercedes-AMG conducted test.[120][121]
"20,600 m (67,600 ft)",7:25.67,Production,Mercedes,Mercedes-Benz SLS AMG Black Series,,August 2013,Mercedes-AMG conducted test.[122]
"20,600 m (67,600 ft)",7:25.72,Production,KTM,KTM X-Bow RR,Christopher Haase,2012,Michelin Pilot Sport Cup.[123]
"20,600 m (67,600 ft)",7:26.4,Production,Chevrolet,Chevrolet Corvette C6 ZR1 (2009),Jim Mero,27 June 2008,"General Motors conducted test, Michelin Pilot Sport 2.[124]"
"20,600 m (67,600 ft)",7:26.70,Production,Nissan,Nissan GT-R (2009),Toshio Suzuki,23 April 2009,"Nissan Motors conducted test, optional tyres. Best Motoring (08/2009).[125]"
"20,600 m (67,600 ft)",7:27.48,Production,Ferrari,Ferrari 812 Superfast,Christian Gebhardt,2018,"Sport Auto (03/2019), Pirelli P Zero Corsa.[126][127]"
"20,600 m (67,600 ft)",7:27.82,Production,Pagani ,Pagani Zonda F Clubsport (2005),Marc Basseng,September 2007,"Pagani conducted test, semi-wet conditions.[128][129]"
"20,600 m (67,600 ft)",7:27.88,Production,BMW,BMW M4 GTS,,,Michelin Pilot Sport Cup 2.[130][131]
,7:28.0,Production,Porsche,Porsche Carrera GT (980),Walter RÃ¶hrl,2 July 2004,Auto Bild(07/04)[132]
"20,600 m (67,600 ft)",7:28.0,Production,McLaren,McLaren MP4-12C,Horst von Saurma,2011,"Sport Auto (11/2011), Pirelli P Zero Corsa.[133]"
"20,600 m (67,600 ft)",7:28.0,Production,Lamborghini,Lamborghini Huracan LP 610-4,Christian Gebhardt,July 2016,"Sport Auto (08/2016), Pirelli P Zero Trofeo R.[134][135][136]"
"20,600 m (67,600 ft)",7:28*,Production,Porsche,Porsche 911 GT3 RS (991),Horst von Saurma,,*Estimated by Sport Auto (8/2015)[109]
"20,600 m (67,600 ft)",7:28.71,Production,Porsche,Porsche Carrera GT (980),Marc Basseng,August 2008,Evo Magazine conducted test.[137]
"20,600 m (67,600 ft)",7:29.03,Production,Nissan,Nissan GT-R (2009),Toshio Suzuki,17 April 2008,"Nissan Motors conducted test,.[138][139][140] The test used a stock GT-R."
"20,600 m (67,600 ft)",7:29.60,Production,Chevrolet,Chevrolet Camaro ZL1 (2017),Drew Cattell,"October 24, 2016",Goodyear Eagle F1.[141]
"20,600 m (67,600 ft)",7:29.90,Production,Chevrolet,Chevrolet Corvette (C8) (2020),Oliver Gavin,,General Motors conducted test. Z51 performance package[142]
,7:30.0,Production,Mercedes,Mercedes-Benz SLS AMG GT (2012),,2012,"According to AMG chairman Ola KÃ¤llenius, as reported by Auto Blog. No video or press release.[143][144]"
"20,600 m (67,600 ft)",7:30.41,Production,Porsche,Porsche 911 Carrera S (992),Christian Gebhardt,2019,"Sport Auto (10/2019), Pirelli P Zero NA1, Porsche Motorsport bucket seat and harness on driver's side.[145]"
,7:32.0,Production,Porsche,"Porsche 911 GT2 (997, 2007)",Walter RÃ¶hrl,2007,"Porsche conducted test, R compound used.[146][citation needed]"
"20,600 m (67,600 ft)",7:32,Production,Porsche,Porsche 911 GT3 (991),Horst von Saurma,November 2013,"Sport Auto (11/2013), Michelin Pilot Sport Cup 2.[109][147]"
"20,600 m (67,600 ft)",7:32,Production,Audi,"Audi R8 V10 Plus (4S, 2015)",Christian Gebhardt,2015,"Sport Auto (10/2015), Michelin Pilot Sport Cup 2.[148]"
"20,600 m (67,600 ft)",7:32,Production,Alfa Romeo,Alfa Romeo Giulia Quadrifoglio (2015),Fabio Francia,September 2016,Alfa Romeo Giulia Quadrifoglio with automatic transmission[149]
"20,600 m (67,600 ft)",7:32.40,Production,Porsche,Porsche Carrera GT (980),Horst von Saurma,2003,"Sport Auto (01/2004), Michelin Pilot Sport.[150]"
"20,600 m (67,600 ft)",7:33,Production,Pagani ,Pagani Zonda F,Horst von Saurma,2006,"Sport Auto (05/2006), Michelin Pilot Sport 2 N0/1.[151]"
"20,600 m (67,600 ft)",7:33,Production,Porsche,Porsche 911 GT3 RS (997.2),Horst von Saurma,2010,"Sport Auto (05/2010), PCCB  [152]"
"20,600 m (67,600 ft)",7:33,Production,Porsche,"Porsche 911 GT2 (997, 2007)",Horst von Saurma,2007,"Sport Auto (11/2007), Michelin Pilot Sport Cup.[153]"
"20,600 m (67,600 ft)",7:33.55,Production,Koenigsegg,Koenigsegg CCX,Marc Basseng,August 2008,Evo Magazine conducted test[154]
"20,600 m (67,600 ft)",7:34,Production,Koenigsegg,Koenigsegg CCR,Horst von Saurma,17 October 2005,"Sport Auto (03/2006), Michelin Pilot Sport N0.[155]"
,7:34,Production,Porsche,Porsche 911 GT2 (997),,September 2008,"Porsche conducted test, stock vehicle.[156]"
"20,600 m (67,600 ft)",7:34,Production,Nissan,Nissan GT-R (2011),Horst von Saurma,October 2010,"Sport Auto (11/2010),.[157]"
"20,600 m (67,600 ft)",7:34,Production,Lexus,Lexus LFA Nurburgring Package,Horst von Saurma,February 2012,"Sport Auto (02/2012), Potenza RE070.[158]"
"20,600 m (67,600 ft)",7:34,Production,Porsche,Porsche 911 Turbo S (991),Horst von Saurma,February 2014,"Sport Auto (2/2014), Dunlop SportMaxx Race.[159]"
"20,600 m (67,600 ft)",7:34,Production,Porsche,Porsche 911 Carrera S (991.2),Christian Gebhardt,May 2016,"Sport Auto (6/2016), Pirelli P Zero N1.[160][161]"
,7:35,Production,Mercedes,Mercedes-AMG GT S,,2016,Autoweek [162] and Fastest Laps [163]
"20,600 m (67,600 ft)",7:35,Production,Ruf,Ruf Rt 12,Horst von Saurma,2008,"Sport Auto (02/2008), Michelin Pilot Sport Cup.[164][165]"
"20,600 m (67,600 ft)",7:35,Production,McLaren,McLaren 650S Spider,Horst von Saurma,2015,"Sport Auto (03/2015), Pirelli P Zero Corsa.[166]"
"20,600 m (67,600 ft)",7:35.90,Production,BMW,BMW M5 Competition (F90),Christian Gebhardt,2019,"Sport Auto (7/2019), Pirelli P Zero.[167][168]"
"20,600 m (67,600 ft)",7:36,Production,Nissan,Nissan GT-R (R35),Horst von Saurma,2011,"Sport Auto (05/2011), Dunlop SP Sport Maxx GT 600 DSST.[169]"
"20,600 m (67,600 ft)",7:36,Production,Honda,"Honda NSX (NC1, 2016)",Christian Gebhardt,March 2017,"Sport Auto (03/2017),  Pirelli P Zero Trofeo R.[170]"
"20,600 m (67,600 ft)",7:37,Production,BMW,BMW M4 GTS,Christian Gebhardt,October 2016,"Sport Auto (09/2016), Michelin Pilot Sport Cup 2.[171]"
"20,600 m (67,600 ft)",7:37.4,Production,Chevrolet,Chevrolet Camaro Z/28 (2014),Adam Dean,October 2013,"General Motors conducted test, Pirelli P Zero Trofeo R.[172]"
"20,600 m (67,600 ft)",7:37.9,Production,Porsche,Porsche 911 Carrera S (991),Timo Kluck,28 August 2012,"Porsche conducted test, PDK transmission.[173]"
"20,600 m (67,600 ft)",7:38,Production,Ferrari,Ferrari 458 Italia,Horst von Saurma,2010,"Sport Auto (08/2010), Michelin Pilot Sport PS2.[174]"
"20,600 m (67,600 ft)",7:38,Production,Lexus,Lexus LFA,Horst von Saurma,September 2010,"Sport Auto (09/2010), Bridgestone Potenza S001.[175]"
,7:38,Production,Porsche,Porsche 911 Turbo (997),,September 2008,"Porsche conducted test, stock vehicle.[156]"
"20,600 m (67,600 ft)",7:38,Production,Chevrolet,Chevrolet Corvette C6 ZR1,Horst von Saurma,October 2009,"Sport Auto conducted test, Michelin Pilot Sport ZP run-flat.[176]"
"20,600 m (67,600 ft)",7:38,Production,Nissan,Nissan GT-R,Horst von Saurma,,"Sport Auto (07/2009), Dunlop SP Sport 600 DSST run flat.[177]"
"20,600 m (67,600 ft)",7:38,Production,Lamborghini,Lamborghini Gallardo LP570-4 Superleggera,Horst von Saurma,2011,"Sport Auto (04/2011), Pirelli P Zero Corsa.[178]"
"20,600 m (67,600 ft)",7:38,Production,Porsche,Porsche Panamera Turbo (2017),,,Car equipped with roll cage. Confirmed by Road & Track[179][180]
"20,832 m (68,346 ft)",7:38.85,Production,Lexus,Lexus LFA,Sascha Bert,November 2010,Auto Bild Sportscars supercomparo (LFA vs 458 vs SLS AMG vs GT-R vs LP570-4 vs Weismann GT) test conducted on the long 20.8Â km configuration of Nurburgring (11/2010)[181]
"20,600 m (67,600 ft)",7:38.92,Production,BMW,BMW M5 (F90),Christian Gebhardt,2018,Sport Auto (06/2018).[182]
,7:39,Production,Porsche,"Porsche 911 Turbo (997, 2010)",,,"Porsche conducted Test, stock vehicle.[183]"
"20,600 m (67,600 ft)",7:39,Production,Ferrari,Ferrari 430 Scuderia,Horst von Saurma,2008,"Sport Auto (07/2008), Pirelli P Zero Corsa.[184]"
"20,832 m (68,346 ft)",7:40,Production,Bugatti,Bugatti Veyron 16.4,,2005,Wheels Magazine Australia 2005[185][186]
"20,600 m (67,600 ft)",7:40,Production,Lamborghini,Lamborghini Murcielago LP 640,Giorgio Sanna,,"Lamborghini, Auto Bild (01/2007)[citation needed]"
"20,600 m (67,600 ft)",7:40,Production,Mercedes,Mercedes-Benz SLR McLaren,Klaus Ludwig,,Auto Bild(07/2004)[132]
"20,600 m (67,600 ft)",7:40,Production,Porsche,Porsche 911 GT3 (997.2),Horst von Saurma,2009,"Sport Auto (06/2009), Michelin Pilot Sport Cup.[187]"
"20,600 m (67,600 ft)",7:40,Production,Mercedes,Mercedes-Benz SLS AMG,Horst von Saurma,2010,"Sport Auto (05/2010), Continental ContiSportContact 5.[188]"
"20,600 m (67,600 ft)",7:40.100,Production,Renault,Renault Megane R.S. Trophy-R,Laurent Hurgon,April 2019,"Renault Sport conducted test, Bridgestone Potenza S007.[189][190][191]"
"20,832 m (68,346 ft)",7:40.76,Production,Lamborghini,Lamborghini Gallardo LP570-4 Superleggera,Sascha Bert,November 2010,Auto Bild Sportscars (11/2010)[181]
"20,832 m (68,346 ft)",7:41.23,Production,Porsche,Porsche 911 Turbo S (997.2),Sascha Bert,November 2010,Auto Bild Sportscars (11/2010)[citation needed]
"20,600 m (67,600 ft)",7:41.27,Production,Chevrolet,Chevrolet Camaro ZL1 (2012),Aaron Link,October 2011,GM conducted test.[192][193]
"20,832 m (68,346 ft)",7:41.50,Production,Chevrolet,Chevrolet Corvette C6 ZR1,Sascha Bert,November 2010,Auto Bild Sportscars (11/2010)[181]
"20,600 m (67,600 ft)",7:42,Production,Porsche,Porsche 911 GT3 (997),Walter RÃ¶hrl,,"Automobil (05/2006), Sport Auto (05/2006)[citation needed]"
"20,600 m (67,600 ft)",7:42,Production,Lamborghini,Lamborghini Murcielago LP670-4 SuperVeloce,Horst von Saurma,,"Sport Auto (01/2010), Pirelli P Zero Corsa.[194]"
"20,600 m (67,600 ft)",7:42,Production,Porsche,Porsche Cayman GT4 (981),Christian Gebhardt,April 2015,"Sport Auto (5/2015), Michelin Pilot Sport Cup 2.[195][196][197]"
"20,600 m (67,600 ft)",7:42.34,Production,Porsche,Porsche Taycan,Lars Kern,August 2019,"Porsche conducted test, pre-production model. Fastest street-legal electric car.[198][199]"
,7:42.9,Production,Chevrolet,Chevrolet Corvette C6 Z06,Jan Magnussen,2005,"General Motors,[200][201] Motor Trend confirmed, recorded from a standing start rather than the generally accepted rolling start technique now used [202]"
,7:43,Production,Porsche,Porsche 911 GT3 RS (997),,,'Motor' magazine[citation needed]
"20,600 m (67,600 ft)",7:43.8,Production,Honda,Honda Civic Type R (FK8),,April 2017,"Honda conducted test, full ""floating"" roll cage, removed infotainment and rear seats.[203][204]"
"20,832 m (68,346 ft)",7:43.65,Production,Nissan,Nissan GT-R,Sascha Bert,November 2010,Auto Bild Sportscars (11/2010)[181]
"20,600 m (67,600 ft)",7:43.92,Production,Aston Martin,Aston Martin V8 Vantage (2019),Christian Gebhardt,2019,"Sport Auto (02/2020), Pirelli P Zero A6A.[205][206]"
"20,600 m (67,600 ft)",7:44,Production,Audi,Audi R8 Coupe 5.2 FSI quattro,,,"Sport Auto (09/2009), Pirelli P Zero Corsa.[207]"
"20,600 m (67,600 ft)",7:44,Production,Pagani ,Pagani Zonda S 7.3 (2002),Horst von Saurma,2002,"Sport Auto (2002), Michelin Pilot Sport.[208]"
,7:44,Production,Bugatti,Bugatti EB110 SS,Loris Bicocchi,1993,[209][210][211][212]
"20,600 m (67,600 ft)",7:44.13,Production,Mercedes,Mercedes-AMG C 63 S Coupe (W205),Christian Gebhardt,2019,Sport Auto (03/2019).[213]
"20,832 m (68,346 ft)",7:44.42,Production,Mercedes,Mercedes-Benz SLS AMG,Sascha Bert,November 2010,Auto Bild Sportscars (11/2010)[citation needed]
"20,600 m (67,600 ft)",7:45.19,Production,Mercedes,Mercedes-AMG E63 S 4Matic+ (T-Modell Wagon),Christian Gebhardt,2017,"Sport Auto (12/2017), Michelin Pilot Sport 4S.[214][215]"
"20,832 m (68,346 ft)",7:45.389,Production,Renault ,Renault Megane R.S. Trophy-R,Laurent Hurgon,April 2019,"Renault Sport conducted test, Bridgestone Potenza S007.[189][216][191]"
"20,600 m (67,600 ft)",7:46,Production,Mercedes,Mercedes-Benz C 63 AMG Coupe Black Series,Horst von Saurma,2011,"Sport Auto (01/2012), Dunlop Sport Maxx Race M0.[217][218]"
"20,600 m (67,600 ft)",7:46,Production,Porsche,Porsche 911 GT2 (1999),Horst von Saurma,,Sport Auto (06/2001)[citation needed]
"20,600 m (67,600 ft)",7:46,Production,Lamborghini,Lamborghini Gallardo LP570-4 Superleggera,Horst von Saurma,2007,"Sport Auto (09/2007), Pirelli P Zero Corsa.[219]"
"20,600 m (67,600 ft)",7:46.70,Production,Porsche,Porsche 718 Cayman S (982),Christian Gebhardt,September 2016,"Sport Auto (10/2016), Pirelli P Zero N1.[220][221]"
"20,600 m (67,600 ft)",7:47,Production,Porsche,Porsche 911 GT3 RS (996),Horst von Saurma,2004,"Sport Auto (3/2004), Pirelli P Zero Corsa.[222]"
"20,600 m (67,600 ft)",7:47,Production,Ferrari,Ferrari 599 GTB Fiorano,Horst von Saurma,2007,"Sport Auto (08/2007), Pirelli P Zero.[223]"
"20,600 m (67,600 ft)",7:47,Production,Lamborghini,Lamborghini Murcielago LP 640,Horst von Saurma,2006,"Sport Auto (01/2007), E-Gear automated sequential transmission, Pirelli P Zero Corsa.[224]"
"20,600 m (67,600 ft)",7:47.19,Production,Volkswagen,Volkswagen Golf GTI Clubsport S (2016),,7 December 2016,"Volkswagen conducted test,[225] special Nurburgring set-up. FWD car record (before 2017 Civic Type R), video confirmed."
"20,600 m (67,600 ft)",7:48,Production,Audi,Audi TT RS (8S),Christian Gebhardt,2017,"Sport Auto (10/2017), Pirelli P Zero Corsa.[226]"
"20,600 m (67,600 ft)",7:48,Production,BMW,"BMW M3 GTS Coupe (E92, 2011)",Horst von Saurma,,Sport Auto[227]
"20,600 m (67,600 ft)",7:48,Production,Porsche,Porsche 911 GT3 RS (997.1),Horst von Saurma,2007,"Sport Auto (3/2007), Michelin Pilot Sport Cup.[228]"
"20,600 m (67,600 ft)",7:48,Production,Porsche,Porsche 911 GT3 (997.1),Horst von Saurma,2006,"Sport Auto (7/2006), Michelin Pilot Sport Cup.[229]"
"20,600 m (67,600 ft)",7:48.13,Production,Lotus,Lotus Exige Cup 380 (2017),Christian Gebhardt,2017,"Sport Auto (1/2018), Michelin Pilot Sport Cup 2.[230][231]"
"20,600 m (67,600 ft)",7:48.80,Production,Mercedes,Mercedes-AMG A 45 S 4Matic+ (W177),Christian Gebhardt,2019,"Sport Auto (04/2020), Pirelli P Zero Trofeo R MO1.[232]"
"20,600 m (67,600 ft)",7:49,Production,Chevrolet,Chevrolet Corvette C6 Z06,Horst von Saurma,22 June 2007,"Sport Auto (06/2007), Goodyear Eagle F1 Supercar EMT.[233]"
"20,600 m (67,600 ft)",7:49.21,Production,Volkswagen,Volkswagen Golf GTI Clubsport S,Benny Leuchter,20 April 2016,"Volkswagen conducted test,[234] special Nurburgring set-up. FWD car record, video confirmed."
"20,600 m (67,600 ft)",7:50,Production,Aston Martin,Aston Martin V8 Vantage GT8,Christian Gebhardt,February 2017,"Sport Auto (3/2017), Michelin Pilot Sport Cup 2.[235][236]"
"20,600 m (67,600 ft)",7:50,Production,BMW,"BMW M3 CSL (E46, 2004)",Horst von Saurma,2003,"Sport Auto (08/2003), Michelin Pilot Sport Cup.[237]"
"20,600 m (67,600 ft)",7:50,Production,Porsche,"Porsche 911 Carrera S (997.2, 2009)",Horst von Saurma,2008,"Sport Auto (08/2008), Michelin Pilot Sport Cup N0, PCCB, PDK, Sport Chrono Plus.[238]"
,7:51,Production,Mercedes,Mercedes-Benz SL65 AMG Black Series,,2009,Motor Trend [239]
"20,800 m (68,200 ft)",7:51.51,Production,Volvo ,Volvo S60 Polestar (2016),,May 2016,[240]
"20,600 m (67,600 ft)",7:51.7,Production,Alfa Romeo,Alfa Romeo Stelvio Quadrifoglio (2018),Fabio Francia,2017,"Alfa Romeo conducted test. Pirelli tyre. Equipped with OEM optional racing seat, harness and carbon-ceramic brakes. Equipped with roll cage.[241][242]"
"20,600 m (67,600 ft)",7:51.8,Production,Lamborghini,Lamborghini Gallardo LP 560-4,Horst von Saurma,2008,"Sport Auto (11/2008), Pirelli P Zero Corsa.[243]"
"20,600 m (67,600 ft)",7:52,Production,Aston Martin,Aston Martin V12 Vantage S,Horst von Saurma,2014,"Sport Auto (8/2014), Pirelli P Zero Corsa, eight-speed Sportshift III automatic.[244]"
"20,600 m (67,600 ft)",7:52,Production,BMW,BMW M4,Horst von Saurma,2014,Auto Motor & Sport Germany[245]
"20,600 m (67,600 ft)",7:52,Production,Mercedes,Mercedes-Benz SLR McLaren,Klaus Ludwig,2004,"Sport Auto, Michelin Pilot Sport 2.[246]"
"20,600 m (67,600 ft)",7:52,Production,Porsche,Porsche Panamera Turbo S (970),Horst von Saurma,,"Sport Auto (04/2012), PDK, Michelin Pilot Sport.[247]"
"20,600 m (67,600 ft)",7:52.17,Production,Toyota,Toyota GR Supra (A90/J29),Christian Gebhardt,2019,"Sport Auto (01/2020), Michelin Pilot Super Sport.[248]"
"20,600 m (67,600 ft)",7:52:36,Production,BMW,BMW M2 Competition (F22),Horst von Saurma,October 2018,Sport Auto[249][250]
