20.6 km,07:14.6,Production,Lexus,Lexus LFA Nurburgring Package,Akira Iida,2011-08-31,"Lexus conducted test. OEM ""Nurburgring Package"" Bridgestone Potenza RE070 additional roll cage.[88][89][90]"
20.6 km,07:14.9,Production,Donkervoort,Donkervoort D8 RS,Michael Duchting,2006-01-01,Observed by Sport Auto Dunlop Sportmaxx.[91]
20.6 km,07:16.0,Production,Chevrolet,Chevrolet Camaro ZL1 1LE (2018),Bill Wise,2017-01-01,General Motors conducted test OEM Goodyear Eagle F1 Supercar 3R.[92][93]
20.6 km,7:17,Production,Porsche,Porsche 911 Turbo S (991.2),Christian Gebhardt,2018-03-01,Sport Auto (3/2018) Pirelli P Zero Corsa 'N0' OEM 'Aerokit'.[94][95]
20.6 km,7:18,Production,Porsche,Porsche 911 GT2 RS (997.2),Timo Kluck,2010-01-01,Porsche conducted test Michelin Pilot Sport Cup 'N2'.[96][97]
20.6 km,7:18,Production,Porsche,Porsche 911 GT3 (991.2),Christian Gebhardt,2017-06-01,Sport Auto (7/2017) Michelin Pilot Sport Cup 2 'N1' PDK bucket seat and harness.[98][99]
20.6 km,07:18.1,Production,Donkervoort,Donkervoort D8 RS,Michael Duchting,2004-10-24,Observed by Sport Auto.[91]
20.6 km,7:19,Production,Radical,Radical SR3 Turbo,n/a,2003-07-15,[citation needed]
20.6 km,07:19.1,Production,Nissan,Nissan GT-R (2012),n/a,2012-11-05,Nissan conducted test.[100]
20.6 km,07:19.6,Production,Chevrolet,Chevrolet Corvette C6 ZR1 (2012),Jim Mero,2011-06-09,General Motors conducted test. Base car OEM Michelin Pilot Sport Cup ZP option.[101][102]
20.6 km,7:21,Production,Ferrari,Ferrari 488 GTB,n/a,2016-01-19,Auto Zeitung (19/2016).[103]
20.6 km,07:21.6,Production,Ferrari,Ferrari 488 GTB,Christian Gebhardt,2016-11-01,Sport Auto (12/2016) Michelin Pilot Sport Cup 2.[104][105]
20.6 km,07:22.1,Production,Dodge,Dodge Viper ACR (2009),Tom Coronel,2008-08-18,Chrysler and Motor Trend conducted test. Michelin Pilot Sport Cup.[106]
20.6 km,07:22.7,Production,Chevrolet,Chevrolet Corvette C6 Z06 (2012),Jim Mero,2011-06-23,General Motors conducted test. Z07 package OEM Michelin Pilot Sport Cup ZP option.[107]
20.832 km,07:23.2,Production,Jaguar,Jaguar XE SV Project 8 (2018),Vincent Radermecker,2019-07-01,Jaguar conducted test Michelin Pilot Sport Cup 2 R tyres two-seat Track Package. Full run with flying start.[5][108]
20.6 km,7:24,Production,Gumpert,Gumpert Apollo Sport,Horst von Saurma,2010-11-01,Sport Auto (11/2009) Michelin Pilot Sport Cup.[109][110]
20.6 km,7:24,Production,Porsche,Porsche 911 GT2 RS (997.2),Horst von Saurma,2010-11-01,Sport Auto (11/2010) Michelin Pilot Sport Cup.[111]
20.6 km,7:24,Production,Porsche,Porsche 911 Carrera GTS (991.2),Christian Gebhardt,2017-05-01,Sport Auto (6/2017) optional OEM Pirelli P Zero Corsa N0 PDK rear seats.[112][113]
20.6 km,07:24.2,Production,Nissan,Nissan GT-R (2011),Toshio Suzuki,2010-10-01,Nissan conducted test.[114] Semi-wet conditions. Video confirmed. Best Motoring (12/2010).[115]
20.6 km,07:24.3,Production,Maserati,Maserati MC12,Marc Basseng,2008-08-01,Evo Magazine conducted test[116]
20.6 km,07:24.4,Production,Pagani,Pagani Zonda F Clubsport,Marc Basseng,2008-08-01,Evo Magazine conducted test[117]
20.6 km,7:25,Production,Lamborghini,Lamborghini Aventador LP 700-4,Horst von Saurma,2012-08-01,Sport Auto (08/2012) Pirelli P Zero Corsa.[118]
20.6 km,07:25.2,Production,Ferrari,Enzo Ferrari,Marc Basseng,2008-08-01,Evo Magazine conducted test[119]
20.6 km,07:25.4,Production,Mercedes_Benz,Mercedes-AMG GT 4-Door Coupe 63 S 4MATIC+,Demian Schaffert,2018-10-01,Mercedes-AMG conducted test.[120][121]
20.6 km,07:25.7,Production,Mercedes_Benz,Mercedes_Benz SLS AMG Black Series,n/a,2013-08-01,Mercedes-AMG conducted test.[122]
20.6 km,07:25.7,Production,KTM,KTM X-Bow RR,Christopher Haase,2012-01-01,Michelin Pilot Sport Cup.[123]
20.6 km,07:26.4,Production,Chevrolet,Chevrolet Corvette C6 ZR1 (2009),Jim Mero,2008-06-27,General Motors conducted test Michelin Pilot Sport 2.[124]
20.6 km,07:26.7,Production,Nissan,Nissan GT-R (2009),Toshio Suzuki,2009-04-23,Nissan Motors conducted test optional tyres. Best Motoring (08/2009).[125]
20.6 km,07:27.5,Production,Ferrari,Ferrari 812 Superfast,Christian Gebhardt,2018-01-01,Sport Auto (03/2019) Pirelli P Zero Corsa.[126][127]
20.6 km,07:27.8,Production,Pagani ,Pagani Zonda F Clubsport (2005),Marc Basseng,2007-09-01,Pagani conducted test semi-wet conditions.[128][129]
20.6 km,07:27.9,Production,BMW,BMW M4 GTS,n/a,2016-04-14,Michelin Pilot Sport Cup 2.[130][131]
n/a,07:28.0,Production,Porsche,Porsche Carrera GT (980),Walter Rohrl,2004-07-02,Auto Bild(07/04)[132]
20.6 km,07:28.0,Production,McLaren,McLaren MP4-12C,Horst von Saurma,2011-11-01,Sport Auto (11/2011) Pirelli P Zero Corsa.[133]
20.6 km,07:28.0,Production,Lamborghini,Lamborghini Huracan LP 610-4,Christian Gebhardt,2016-07-01,Sport Auto (08/2016) Pirelli P Zero Trofeo R.[134][135][136]
20.6 km,07:28.7,Production,Porsche,Porsche Carrera GT (980),Marc Basseng,2008-08-01,Evo Magazine conducted test.[137]
20.6 km,07:29.0,Production,Nissan,Nissan GT-R (2009),Toshio Suzuki,2008-04-17,Nissan Motors conducted test.[138][139][140] The test used a stock GT-R.
20.6 km,07:29.6,Production,Chevrolet,Chevrolet Camaro ZL1 (2017),Drew Cattell,2016-10-24,Goodyear Eagle F1.[141]
20.6 km,07:29.9,Production,Chevrolet,Chevrolet Corvette (C8) (2020),Oliver Gavin,2020-05-02,General Motors conducted test. Z51 performance package[142]
n/a,07:30.0,Production,Mercedes_Benz,Mercedes_Benz SLS AMG GT (2012),n/a,2012-01-01,According to AMG chairman Ola KÃ¤llenius as reported by Auto Blog. No video or press release.[143][144]
20.6 km,07:30.4,Production,Porsche,Porsche 911 Carrera S (992),Christian Gebhardt,2019-10-01,Sport Auto (10/2019) Pirelli P Zero NA1 Porsche Motorsport bucket seat and harness on driver's side.[145]
n/a,07:32.0,Production,Porsche,Porsche 911 GT2 (997 2007),Walter Rohrl,2007-01-01,Porsche conducted test R compound used.[146][citation needed]
20.6 km,7:32,Production,Porsche,Porsche 911 GT3 (991),Horst von Saurma,2013-11-01,Sport Auto (11/2013) Michelin Pilot Sport Cup 2.[109][147]
20.6 km,7:32,Production,Audi,Audi R8 V10 Plus (4S 2015),Christian Gebhardt,2015-10-01,Sport Auto (10/2015) Michelin Pilot Sport Cup 2.[148]
20.6 km,7:32,Production,Alfa_Romeo,Alfa_Romeo Giulia Quadrifoglio (2015),Fabio Francia,2016-09-01,Alfa_Romeo Giulia Quadrifoglio with automatic transmission[149]
20.6 km,07:32.4,Production,Porsche,Porsche Carrera GT (980),Horst von Saurma,2003-01-01,Sport Auto (01/2004) Michelin Pilot Sport.[150]
20.6 km,7:33,Production,Pagani ,Pagani Zonda F,Horst von Saurma,2006-05-01,Sport Auto (05/2006) Michelin Pilot Sport 2 N0/1.[151]
20.6 km,7:33,Production,Porsche,Porsche 911 GT3 RS (997.2),Horst von Saurma,2010-05-01,Sport Auto (05/2010) PCCB  [152]
20.6 km,7:33,Production,Porsche,Porsche 911 GT2 (997 2007),Horst von Saurma,2007-11-01,Sport Auto (11/2007) Michelin Pilot Sport Cup.[153]
20.6 km,07:33.6,Production,Koenigsegg,Koenigsegg CCX,Marc Basseng,2008-08-01,Evo Magazine conducted test[154]
20.6 km,7:34,Production,Koenigsegg,Koenigsegg CCR,Horst von Saurma,2005-10-17,Sport Auto (03/2006) Michelin Pilot Sport N0.[155]
n/a,7:34,Production,Porsche,Porsche 911 GT2 (997),n/a,2008-09-01,Porsche conducted test stock vehicle.[156]
20.6 km,7:34,Production,Nissan,Nissan GT-R (2011),Horst von Saurma,2010-10-01,Sport Auto (11/2010).[157]
20.6 km,7:34,Production,Lexus,Lexus LFA Nurburgring Package,Horst von Saurma,2012-02-01,Sport Auto (02/2012) Potenza RE070.[158]
20.6 km,7:34,Production,Porsche,Porsche 911 Turbo S (991),Horst von Saurma,2014-02-01,Sport Auto (2/2014) Dunlop SportMaxx Race.[159]
20.6 km,7:34,Production,Porsche,Porsche 911 Carrera S (991.2),Christian Gebhardt,2016-05-01,Sport Auto (6/2016) Pirelli P Zero N1.[160][161]
n/a,7:35,Production,Mercedes_Benz,Mercedes-AMG GT S,n/a,2014-09-09,Autoweek [162] and Fastest Laps [163]
20.6 km,7:35,Production,Ruf,Ruf Rt 12,Horst von Saurma,2008-02-01,Sport Auto (02/2008) Michelin Pilot Sport Cup.[164][165]
20.6 km,7:35,Production,McLaren,McLaren 650S Spider,Horst von Saurma,2015-03-01,Sport Auto (03/2015) Pirelli P Zero Corsa.[166]
20.6 km,07:35.9,Production,BMW,BMW M5 Competition (F90),Christian Gebhardt,2019-07-01,Sport Auto (7/2019) Pirelli P Zero.[167][168]
20.6 km,7:36,Production,Nissan,Nissan GT-R (R35),Horst von Saurma,2011-05-01,Sport Auto (05/2011) Dunlop SP Sport Maxx GT 600 DSST.[169]
20.6 km,7:36,Production,Honda,Honda NSX (NC1 2016),Christian Gebhardt,2017-03-01,Sport Auto (03/2017)  Pirelli P Zero Trofeo R.[170]
20.6 km,7:37,Production,BMW,BMW M4 GTS,Christian Gebhardt,2016-10-01,Sport Auto (09/2016) Michelin Pilot Sport Cup 2.[171]
20.6 km,07:37.4,Production,Chevrolet,Chevrolet Camaro Z/28 (2014),Adam Dean,2013-10-01,General Motors conducted test Pirelli P Zero Trofeo R.[172]
20.6 km,07:37.9,Production,Porsche,Porsche 911 Carrera S (991),Timo Kluck,2012-08-28,Porsche conducted test PDK transmission.[173]
20.6 km,7:38,Production,Ferrari,Ferrari 458 Italia,Horst von Saurma,2010-08-01,Sport Auto (08/2010) Michelin Pilot Sport PS2.[174]
20.6 km,7:38,Production,Lexus,Lexus LFA,Horst von Saurma,2010-09-01,Sport Auto (09/2010) Bridgestone Potenza S001.[175]
n/a,7:38,Production,Porsche,Porsche 911 Turbo (997),n/a,2008-09-01,Porsche conducted test stock vehicle.[156]
20.6 km,7:38,Production,Chevrolet,Chevrolet Corvette C6 ZR1,Horst von Saurma,2009-10-01,Sport Auto conducted test Michelin Pilot Sport ZP run-flat.[176]
20.6 km,7:38,Production,Nissan,Nissan GT-R,Horst von Saurma,2009-07-01,Sport Auto (07/2009) Dunlop SP Sport 600 DSST run flat.[177]
20.6 km,7:38,Production,Lamborghini,Lamborghini Gallardo LP570-4 Superleggera,Horst von Saurma,2011-04-01,Sport Auto (04/2011) Pirelli P Zero Corsa.[178]
20.6 km,7:38,Production,Porsche,Porsche Panamera Turbo (2017),n/a,2016-06-28,Car equipped with roll cage. Confirmed by Road & Track[179][180]
20.832 km,07:38.9,Production,Lexus,Lexus LFA,Sascha Bert,2010-11-01,Auto Bild Sportscars supercomparo (LFA vs 458 vs SLS AMG vs GT-R vs LP570-4 vs Weismann GT) test conducted on the long 20.8Â km configuration of Nurburgring (11/2010)[181]
20.6 km,07:38.9,Production,BMW,BMW M5 (F90),Christian Gebhardt,2018-06-01,Sport Auto (06/2018).[182]
n/a,7:39,Production,Porsche,Porsche 911 Turbo (997 2010),n/a,2009-10-12,Porsche conducted Test stock vehicle.[183]
20.6 km,7:39,Production,Ferrari,Ferrari 430 Scuderia,Horst von Saurma,2008-07-01,Sport Auto (07/2008) Pirelli P Zero Corsa.[184]
20.832 km,7:40,Production,Bugatti,Bugatti Veyron 16.4,n/a,2005-01-01,Wheels Magazine Australia 2005[185][186]
20.6 km,7:40,Production,Lamborghini,Lamborghini Murcielago LP 640,Giorgio Sanna,2007-01-01,Lamborghini Auto Bild (01/2007)[citation needed]
20.6 km,7:40,Production,Mercedes_Benz,Mercedes_Benz SLR McLaren,Klaus Ludwig,2004-07-01,Auto Bild(07/2004)[132]
20.6 km,7:40,Production,Porsche,Porsche 911 GT3 (997.2),Horst von Saurma,2009-06-01,Sport Auto (06/2009) Michelin Pilot Sport Cup.[187]
20.6 km,7:40,Production,Mercedes_Benz,Mercedes_Benz SLS AMG,Horst von Saurma,2010-05-01,Sport Auto (05/2010) Continental ContiSportContact 5.[188]
20.6 km,07:40.1,Production,Renault,Renault Megane R.S. Trophy-R,Laurent Hurgon,2019-04-01,Renault Sport conducted test Bridgestone Potenza S007.[189][190][191]
20.832 km,07:40.8,Production,Lamborghini,Lamborghini Gallardo LP570-4 Superleggera,Sascha Bert,2010-11-01,Auto Bild Sportscars (11/2010)[181]
20.832 km,07:41.2,Production,Porsche,Porsche 911 Turbo S (997.2),Sascha Bert,2010-11-01,Auto Bild Sportscars (11/2010)[citation needed]
20.6 km,07:41.3,Production,Chevrolet,Chevrolet Camaro ZL1 (2012),Aaron Link,2011-10-01,GM conducted test.[192][193]
20.832 km,07:41.5,Production,Chevrolet,Chevrolet Corvette C6 ZR1,Sascha Bert,2010-11-01,Auto Bild Sportscars (11/2010)[181]
20.6 km,7:42,Production,Porsche,Porsche 911 GT3 (997),Walter Rohrl,2006-05-01,Automobil (05/2006) Sport Auto (05/2006)[citation needed]
20.6 km,7:42,Production,Lamborghini,Lamborghini Murcielago LP670-4 SuperVeloce,Horst von Saurma,2010-01-01,Sport Auto (01/2010) Pirelli P Zero Corsa.[194]
20.6 km,7:42,Production,Porsche,Porsche Cayman GT4 (981),Christian Gebhardt,2015-04-01,Sport Auto (5/2015) Michelin Pilot Sport Cup 2.[195][196][197]
20.6 km,07:42.3,Production,Porsche,Porsche Taycan,Lars Kern,2019-08-01,Porsche conducted test pre-production model. Fastest street-legal electric car.[198][199]
n/a,07:42.9,Production,Chevrolet,Chevrolet Corvette C6 Z06,Jan Magnussen,2005-08-18,General Motors[200][201] Motor Trend confirmed recorded from a standing start rather than the generally accepted rolling start technique now used [202]
n/a,7:43,Production,Porsche,Porsche 911 GT3 RS (997),n/a,2006-01-01,'Motor' magazine[citation needed]
20.6 km,07:43.8,Production,Honda,Honda Civic Type R (FK8),n/a,2017-04-01,"Honda conducted test full ""floating"" roll cage removed infotainment and rear seats.[203][204]"
20.832 km,07:43.7,Production,Nissan,Nissan GT-R,Sascha Bert,2010-11-01,Auto Bild Sportscars (11/2010)[181]
20.6 km,07:43.9,Production,Aston_Martin,Aston_Martin V8 Vantage (2019),Christian Gebhardt,2020-02-01,Sport Auto (02/2020) Pirelli P Zero A6A.[205][206]
20.6 km,7:44,Production,Audi,Audi R8 Coupe 5.2 FSI quattro,n/a,2009-09-01,Sport Auto (09/2009) Pirelli P Zero Corsa.[207]
20.6 km,7:44,Production,Pagani ,Pagani Zonda S 7.3 (2002),Horst von Saurma,2002-01-01,Sport Auto (2002) Michelin Pilot Sport.[208]
n/a,7:44,Production,Bugatti,Bugatti EB110 SS,Loris Bicocchi,2001-03-07,[209][210][211][212]
20.6 km,07:44.1,Production,Mercedes_Benz,Mercedes-AMG C 63 S Coupe (W205),Christian Gebhardt,2019-03-01,Sport Auto (03/2019).[213]
20.832 km,07:44.4,Production,Mercedes_Benz,Mercedes_Benz SLS AMG,Sascha Bert,2010-11-01,Auto Bild Sportscars (11/2010)[citation needed]
20.6 km,07:45.2,Production,Mercedes_Benz,Mercedes-AMG E63 S 4Matic+ (T-Modell Wagon),Christian Gebhardt,2017-12-01,Sport Auto (12/2017) Michelin Pilot Sport 4S.[214][215]
20.832 km,07:45.4,Production,Renault ,Renault Megane R.S. Trophy-R,Laurent Hurgon,2019-04-01,Renault Sport conducted test Bridgestone Potenza S007.[189][216][191]
20.6 km,7:46,Production,Mercedes_Benz,Mercedes_Benz C 63 AMG Coupe Black Series,Horst von Saurma,2012-01-01,Sport Auto (01/2012) Dunlop Sport Maxx Race M0.[217][218]
20.6 km,7:46,Production,Porsche,Porsche 911 GT2 (1999),Horst von Saurma,2001-06-01,Sport Auto (06/2001)[citation needed]
20.6 km,7:46,Production,Lamborghini,Lamborghini Gallardo LP570-4 Superleggera,Horst von Saurma,2007-09-01,Sport Auto (09/2007) Pirelli P Zero Corsa.[219]
20.6 km,07:46.7,Production,Porsche,Porsche 718 Cayman S (982),Christian Gebhardt,2016-09-01,Sport Auto (10/2016) Pirelli P Zero N1.[220][221]
20.6 km,7:47,Production,Porsche,Porsche 911 GT3 RS (996),Horst von Saurma,2004-03-01,Sport Auto (3/2004) Pirelli P Zero Corsa.[222]
20.6 km,7:47,Production,Ferrari,Ferrari 599 GTB Fiorano,Horst von Saurma,2007-08-01,Sport Auto (08/2007) Pirelli P Zero.[223]
20.6 km,7:47,Production,Lamborghini,Lamborghini Murcielago LP 640,Horst von Saurma,2007-01-01,Sport Auto (01/2007) E-Gear automated sequential transmission Pirelli P Zero Corsa.[224]
20.6 km,07:47.2,Production,Volkswagen,Volkswagen Golf GTI Clubsport S (2016),n/a,2016-12-07,Volkswagen conducted test[225] special Nurburgring set-up. FWD car record (before 2017 Civic Type R) video confirmed.
20.6 km,7:48,Production,Audi,Audi TT RS (8S),Christian Gebhardt,2017-10-01,Sport Auto (10/2017) Pirelli P Zero Corsa.[226]
20.6 km,7:48,Production,BMW,BMW M3 GTS Coupe (E92 2011),Horst von Saurma,2011-03-05,Sport Auto[227]
20.6 km,7:48,Production,Porsche,Porsche 911 GT3 RS (997.1),Horst von Saurma,2007-03-01,Sport Auto (3/2007) Michelin Pilot Sport Cup.[228]
20.6 km,7:48,Production,Porsche,Porsche 911 GT3 (997.1),Horst von Saurma,2006-07-01,Sport Auto (7/2006) Michelin Pilot Sport Cup.[229]
20.6 km,07:48.1,Production,Lotus,Lotus Exige Cup 380 (2017),Christian Gebhardt,2018-01-01,Sport Auto (1/2018) Michelin Pilot Sport Cup 2.[230][231]
20.6 km,07:48.8,Production,Mercedes_Benz,Mercedes-AMG A 45 S 4Matic+ (W177),Christian Gebhardt,2020-04-01,Sport Auto (04/2020) Pirelli P Zero Trofeo R MO1.[232]
20.6 km,7:49,Production,Chevrolet,Chevrolet Corvette C6 Z06,Horst von Saurma,2007-06-22,Sport Auto (06/2007) Goodyear Eagle F1 Supercar EMT.[233]
20.6 km,07:49.2,Production,Volkswagen,Volkswagen Golf GTI Clubsport S,Benny Leuchter,2016-04-20,Volkswagen conducted test[234] special Nurburgring set-up. FWD car record video confirmed.
20.6 km,7:50,Production,Aston_Martin,Aston_Martin V8 Vantage GT8,Christian Gebhardt,2017-02-01,Sport Auto (3/2017) Michelin Pilot Sport Cup 2.[235][236]
20.6 km,7:50,Production,BMW,BMW M3 CSL (E46 2004),Horst von Saurma,2003-08-01,Sport Auto (08/2003) Michelin Pilot Sport Cup.[237]
20.6 km,7:50,Production,Porsche,Porsche 911 Carrera S (997.2 2009),Horst von Saurma,2008-08-01,Sport Auto (08/2008) Michelin Pilot Sport Cup N0 PCCB PDK Sport Chrono Plus.[238]
n/a,7:51,Production,Mercedes_Benz,Mercedes_Benz SL65 AMG Black Series,n/a,2011-12-20,Motor Trend [239]
20.8 km,07:51.5,Production,Volvo ,Volvo S60 Polestar (2016),n/a,2016-05-01,[240]
20.6 km,07:51.7,Production,Alfa_Romeo,Alfa_Romeo Stelvio Quadrifoglio (2018),Fabio Francia,2017-09-28,Alfa_Romeo conducted test. Pirelli tyre. Equipped with OEM optional racing seat harness and carbon-ceramic brakes. Equipped with roll cage.[241][242]
20.6 km,07:51.8,Production,Lamborghini,Lamborghini Gallardo LP 560-4,Horst von Saurma,2008-11-01,Sport Auto (11/2008) Pirelli P Zero Corsa.[243]
20.6 km,7:52,Production,Aston_Martin,Aston_Martin V12 Vantage S,Horst von Saurma,2014-08-01,Sport Auto (8/2014) Pirelli P Zero Corsa eight-speed Sportshift III automatic.[244]
20.6 km,7:52,Production,BMW,BMW M4,Horst von Saurma,2014-08-02,Auto Motor & Sport Germany[245]
20.6 km,7:52,Production,Mercedes_Benz,Mercedes_Benz SLR McLaren,Klaus Ludwig,2003-01-01,Sport Auto Michelin Pilot Sport 2.[246]
20.6 km,7:52,Production,Porsche,Porsche Panamera Turbo S (970),Horst von Saurma,2012-04-01,Sport Auto (04/2012) PDK Michelin Pilot Sport.[247]
20.6 km,07:52.2,Production,Toyota,Toyota GR Supra (A90/J29),Christian Gebhardt,2020-01-01,Sport Auto (01/2020) Michelin Pilot Super Sport.[248]
20.6 km,7:52:36,Production,BMW,BMW M2 Competition (F22),Horst von Saurma,2018-10-01,Sport Auto[249][250]
20.6 km,7:54,Production,Mercedes_Benz,Mercedes_Benz CLK DTM AMG (W209 2004),Marcus Schurig,2005-03-01,Sport Auto (03/2005) Dunlop SP Sport Super Race five-speed AMG SPEEDSHIFT automatic.[251]
n/a,7:54,Production,Nissan,Nissan GT-R,n/a,2008-09-01,Porsche conducted test stock vehicle.[156]
20.6 km,7:54,Production,Porsche,Porsche 911 GT3 (996),Horst von Saurma,2003-06-01,Sport Auto (6/2003) Michelin Pilot Sport N2.[252]
20.6 km,7:54,Production,Porsche,Porsche 911 Turbo (997),Horst von Saurma,2007-05-01,Sport Auto (05/2007) Michelin Pilot Sport Cup N0.[253]
20.6 km,07:54.4,Production,Renault,Renault Megane RS 275 Trophy-R,Laurent Hurgon,2014-06-16,Test realised by Renault Sport[254]
20.6 km,7:55,Production,Mercedes_Benz,Mercedes_Benz E63 AMG S 4Matic,Horst von Saurma,2013-09-01,Sport Auto (09/2013) [255]
20.6 km,7:54,Production,BMW,BMW F10 M5 Competition,Horst von Saurma,2014-12-01,Sport Auto (12/2014)[256]
n/a,7:55,Production,Caterham,Caterham R500 Superlight,Robert Nearn,2000-07-01,Evo Magazine (07/2000)[citation needed]
20.6 km,7:55,Production,Ferrari,Ferrari F430 F1,Horst von Saurma,2006-01-01,Sport Auto (01/2006) Pirelli P Zero Corsa.[257]
n/a,7:56,Production,Chevrolet,Chevrolet Corvette C5 Z06,Dave Hill,2010-06-01,crossedflags.com[258]
20.6 km,7:56,Production,Porsche,Porsche 911 Turbo (996),Horst von Saurma,2008-08-03,"Sport Auto[259] Flying start (""fliegende Runde."")"
n/a,7:56,Production,Porsche,Porsche Panamera Turbo,Walter Rohrl,2009-07-01,Motor Trend (07/2009)[260]
n/a,7:56,Production,Ferrari,Ferrari 360 Challenge Stradale F1,Horst von Saurma,2004-02-01,Sport Auto (02/2004) sport tyres.[261]
n/a,07:56.7,Production,Honda,Honda NSX-R (NA2),Motoharu Kurosawa,2002-01-01,"Best Motoring Video Special Vol. 55 ""NA2 NSX-R"" (2002) video confirmed[citation needed]"
n/a,7:58,Production,BMW,BMW M2 (F22),n/a,2015-12-01,Car Magazine (12/2015)[262]
n/a,07:58.4,Production,SEAT,SEAT Leon Mk3 Cupra,Jordi Gene,2014-03-01,SEAT conducted test[263]
